Modelo,Acurácia,Precisão,Recall,F1-Score,PR-AUC,KS Statistic,P@80%Recall,ROC-AUC
Random Forest,0.9919,0.8767,0.6165,0.7239,0.8158,0.8953,0.6378,0.985
XGBoost,0.9916,0.8137,0.6608,0.7293,0.7805,0.894,0.5968,0.9857
Reg. Logística (sem norm.),0.9906,0.8037,0.6005,0.6874,0.7541,0.8645,0.4889,0.9832
Reg. Logística (com norm.),0.9913,0.8343,0.6169,0.7093,0.7806,0.8886,0.5362,0.9879
